time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8
2.636,3,384.000,842.000,92.000,598.000,379.000,848.000,88.000,631.000,379.000,848.000,88.000,631.000,0.024,0.25,0.64,0.01,0.00,0.06,0.03,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.669,3,379.000,848.000,88.000,631.000,381.000,843.000,86.000,648.000,381.000,843.000,86.000,648.000,0.012,0.24,0.65,0.01,0.00,0.06,0.03,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.703,3,381.000,843.000,86.000,648.000,380.000,843.000,85.000,647.000,380.000,843.000,85.000,647.000,0.001,0.24,0.65,0.01,0.00,0.06,0.03,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.736,3,380.000,843.000,85.000,647.000,381.000,842.000,84.000,661.000,381.000,842.000,84.000,661.000,0.008,0.23,0.66,0.01,0.01,0.06,0.03,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.769,3,381.000,842.000,84.000,661.000,382.000,845.000,87.000,631.000,382.000,845.000,87.000,631.000,0.016,0.23,0.66,0.01,0.00,0.06,0.03,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.803,3,382.000,845.000,87.000,631.000,392.000,843.000,86.000,610.000,392.000,843.000,86.000,610.000,0.017,0.24,0.64,0.01,0.01,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.836,3,392.000,843.000,86.000,610.000,390.000,840.000,86.000,607.000,390.000,840.000,86.000,607.000,0.004,0.24,0.64,0.01,0.00,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.870,3,390.000,840.000,86.000,607.000,391.000,839.000,87.000,601.000,391.000,839.000,87.000,601.000,0.004,0.25,0.63,0.01,0.00,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.903,3,391.000,839.000,87.000,601.000,392.000,839.000,88.000,599.000,392.000,839.000,88.000,599.000,0.002,0.25,0.63,0.01,0.00,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.936,3,392.000,839.000,88.000,599.000,394.000,838.000,90.000,599.000,394.000,838.000,90.000,599.000,0.003,0.25,0.63,0.01,0.01,0.06,0.04,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
2.970,3,394.000,838.000,90.000,599.000,392.000,837.000,87.000,599.000,392.000,837.000,87.000,599.000,0.003,0.24,0.63,0.01,0.01,0.07,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
3.003,3,392.000,837.000,87.000,599.000,390.000,838.000,89.000,602.000,390.000,838.000,89.000,602.000,0.004,0.25,0.62,0.01,0.00,0.07,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
3.036,3,390.000,838.000,89.000,602.000,390.000,842.000,87.000,607.000,390.000,842.000,87.000,607.000,0.006,0.25,0.62,0.01,0.00,0.07,0.04,0.01,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
3.070,3,390.000,842.000,87.000,607.000,389.000,847.000,85.000,625.000,389.000,847.000,85.000,625.000,0.013,0.25,0.62,0.01,0.01,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
3.103,3,389.000,847.000,85.000,625.000,391.000,844.000,84.000,620.000,391.000,844.000,84.000,620.000,0.006,0.25,0.62,0.01,0.00,0.06,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
3.136,3,391.000,844.000,84.000,620.000,389.000,842.000,85.000,616.000,389.000,842.000,85.000,616.000,0.005,0.25,0.63,0.01,0.00,0.07,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
3.170,3,389.000,842.000,85.000,616.000,390.000,840.000,84.000,600.000,390.000,840.000,84.000,600.000,0.010,0.23,0.63,0.01,0.00,0.07,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
3.203,3,390.000,840.000,84.000,600.000,391.000,839.000,85.000,605.000,391.000,839.000,85.000,605.000,0.004,0.24,0.63,0.01,0.00,0.07,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
3.237,3,391.000,839.000,85.000,605.000,392.000,840.000,89.000,595.000,392.000,840.000,89.000,595.000,0.008,0.24,0.63,0.01,0.00,0.07,0.04,0.00,0.00,0.21,0.74,0.00,0.00,0.02,0.02,0.00,0.00
