time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,vx_min_p,vx_max_p,vy_min_p,vy_max_p,vx_min_c,vx_max_c,vy_min_c,vy_max_c,distance,do_c1,do_c2,do_c3,do_c4,do_c5,do_c6,do_c7,do_c8,io_c1,io_c2,io_c3,io_c4,io_c5,io_c6,io_c7,io_c8,confidence
0.360,8,436.910,599.517,256.189,338.011,446.000,608.000,258.000,338.000,441.195,604.269,257.236,338.305,-12.580,25.872,25.872,14.967,13.116,45.824,11.224,13.333,0.033,0.01,0.01,0.02,0.00,0.16,0.70,0.09,0.01,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01,0.44
0.360,1,574.886,844.894,637.531,723.280,581.000,839.000,639.000,723.000,578.070,843.193,640.700,723.179,27.859,31.531,31.531,0.635,35.201,21.024,105.013,0.186,0.016,0.01,0.00,0.02,0.05,0.31,0.60,0.01,0.00,0.02,0.01,0.01,0.03,0.20,0.64,0.06,0.04,0.37
0.360,6,309.892,450.042,199.526,287.217,323.000,445.000,210.000,283.000,315.203,448.884,203.909,285.828,-4.900,39.656,39.656,15.208,14.635,29.922,17.255,8.123,0.074,0.05,0.00,0.00,0.01,0.15,0.61,0.13,0.05,0.05,0.00,0.00,0.01,0.15,0.57,0.15,0.06,0.28
0.360,7,203.746,303.996,170.781,238.050,208.000,305.000,177.000,237.000,205.443,304.914,173.133,237.539,-12.907,21.085,21.085,-1.122,-2.720,21.429,-9.460,-3.269,0.040,0.13,0.06,0.01,0.01,0.23,0.26,0.13,0.16,0.21,0.12,0.02,0.00,0.18,0.24,0.09,0.14,0.26
0.400,3,552.504,753.162,426.414,587.380,546.000,760.000,420.000,579.000,551.093,756.983,425.916,586.482,48.225,46.042,46.042,100.225,37.629,52.320,72.269,84.658,0.040,0.02,0.00,0.00,0.02,0.07,0.27,0.12,0.50,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,1.00
0.400,2,850.788,1039.914,329.655,475.292,852.000,1043.000,331.000,482.000,852.447,1042.832,330.814,478.741,48.785,70.200,70.200,32.790,47.856,70.550,26.332,39.570,0.020,0.18,0.02,0.01,0.00,0.08,0.34,0.17,0.20,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.96
0.400,8,441.720,606.102,257.685,338.839,431.000,624.000,266.000,376.000,437.027,615.389,261.784,356.367,13.116,45.824,45.824,13.333,-10.894,80.128,28.021,91.547,0.184,0.01,0.01,0.00,0.00,0.13,0.69,0.13,0.02,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01,0.76
0.400,4,621.209,773.700,203.182,326.927,624.000,776.000,205.000,330.000,623.171,775.554,203.750,329.295,35.452,39.043,39.043,47.631,37.177,39.971,-3.701,49.099,0.018,0.10,0.02,0.01,0.01,0.06,0.21,0.14,0.46,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47,0.71
0.440,3,552.598,759.075,428.807,589.868,554.000,765.000,423.000,592.000,554.064,762.630,428.379,592.776,37.629,52.320,52.320,84.658,37.516,56.510,62.758,83.287,0.021,0.02,0.00,0.00,0.02,0.07,0.28,0.11,0.48,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,1.00
0.440,2,854.361,1045.654,331.868,480.324,850.000,1045.000,332.000,487.000,853.880,1047.149,332.569,483.851,47.856,70.550,70.550,39.570,40.995,66.749,25.325,45.138,0.018,0.18,0.02,0.00,0.00,0.09,0.34,0.17,0.20,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.97
0.440,5,448.930,630.853,306.263,420.600,451.000,633.000,299.000,417.000,450.730,633.034,303.426,419.767,38.614,55.357,55.357,44.681,39.341,55.264,21.947,37.218,0.030,0.02,0.00,0.00,0.00,0.07,0.65,0.19,0.07,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11,0.87
0.440,4,624.658,777.153,203.602,331.258,635.000,784.000,207.000,329.000,629.524,780.755,204.807,331.611,37.177,39.971,39.971,49.099,46.859,45.709,0.177,44.482,0.039,0.10,0.02,0.01,0.01,0.06,0.21,0.13,0.46,0.12,0.03,0.00,0.00,0.06,0.20,0.11,0.47,0.63
0.440,8,436.591,618.594,262.904,360.028,446.000,613.000,258.000,339.000,440.449,617.961,261.397,352.921,-10.894,80.128,80.128,91.547,6.336,64.728,17.475,48.334,0.087,0.01,0.01,0.02,0.01,0.15,0.70,0.09,0.01,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01,0.33
0.480,3,555.564,764.891,430.889,596.107,564.000,767.000,425.000,599.000,559.629,767.095,430.294,599.276,37.516,56.510,56.510,83.287,44.212,56.364,54.649,82.863,0.026,0.03,0.00,0.00,0.02,0.08,0.27,0.11,0.49,0.02,0.00,0.00,0.02,0.07,0.29,0.09,0.50,1.00
0.480,2,855.520,1049.819,333.582,485.656,850.000,1051.000,334.000,499.000,854.513,1051.939,334.375,491.728,40.995,66.749,66.749,45.138,34.082,65.312,24.750,56.278,0.031,0.17,0.02,0.00,0.00,0.09,0.34,0.17,0.19,0.18,0.03,0.00,0.01,0.11,0.35,0.13,0.19,0.94
0.480,5,452.304,635.245,304.304,421.256,445.000,630.000,300.000,418.000,450.173,634.345,303.020,420.765,39.341,55.264,55.264,37.218,29.740,47.201,16.342,32.087,0.033,0.03,0.00,0.00,0.00,0.09,0.61,0.18,0.08,0.02,0.00,0.00,0.00,0.10,0.56,0.20,0.11,0.87
0.480,8,440.703,620.550,262.096,354.855,436.000,626.000,263.000,372.000,438.904,624.324,262.880,363.085,6.336,64.728,64.728,48.334,-0.942,68.929,17.776,70.671,0.063,0.02,0.01,0.01,0.00,0.15,0.72,0.07,0.01,0.01,0.00,0.00,0.00,0.16,0.78,0.05,0.01,0.73
