time,id,x_min_p,x_max_p,y_min_p,y_max_p,x_min_m,x_max_m,y_min_m,y_max_m,x_min_c,x_max_c,y_min_c,y_max_c,distance
0.96,5,487.61,678.93,344.62,474.59,476.00,677.00,321.00,419.00,483.18,678.19,335.60,453.38,56.64
0.96,6,374.70,500.27,221.00,304.59,376.00,499.00,233.00,325.00,375.45,499.53,227.92,316.37,23.75
0.96,5,483.18,678.19,335.60,453.38,474.00,667.00,270.00,389.00,480.64,675.10,317.48,435.60,108.61
0.96,6,375.45,499.53,227.92,316.37,375.00,497.00,213.00,281.00,375.29,498.61,222.46,303.43,25.13
1.00,3,581.43,833.06,506.17,701.43,591.00,831.00,508.00,708.00,587.34,831.79,507.30,705.49,11.93
1.00,2,910.72,1127.28,391.57,566.68,909.00,1129.00,397.00,568.00,909.66,1128.34,394.93,567.50,6.09
1.00,5,482.99,678.36,319.35,437.73,502.00,694.00,355.00,490.00,493.65,687.13,339.34,467.04,67.89
1.00,4,665.52,836.88,215.92,355.14,665.00,829.00,218.00,354.00,665.20,832.01,217.21,354.43,8.25
1.00,6,377.67,501.02,223.39,304.29,379.00,503.00,231.00,325.00,378.44,502.16,227.78,316.25,22.19
1.00,5,493.65,687.13,339.34,467.04,450.00,593.00,323.00,406.00,477.97,653.31,333.47,445.11,96.93
1.00,5,477.97,653.31,333.47,445.11,491.00,674.00,335.00,414.00,481.41,658.78,333.87,436.89,29.86
1.04,3,589.73,835.72,511.96,712.12,593.00,832.00,517.00,712.00,591.75,833.42,515.08,712.04,7.06
1.04,2,913.36,1133.42,398.41,572.10,914.00,1143.00,406.00,577.00,913.76,1139.34,403.10,575.13,13.19
1.04,5,483.75,661.34,336.37,439.06,506.00,696.00,356.00,490.00,496.17,680.69,347.33,467.50,68.38
1.04,4,667.74,835.25,217.66,356.23,669.00,833.00,220.00,356.00,668.52,833.86,219.11,356.09,3.49
1.04,6,380.91,504.68,228.91,317.61,373.00,505.00,231.00,328.00,376.07,504.88,230.19,323.97,13.23
1.04,5,496.17,680.69,347.33,467.50,486.00,673.00,329.00,415.00,492.53,677.94,340.76,448.69,27.82
1.04,5,492.53,677.94,340.76,448.69,451.00,584.00,324.00,411.00,481.57,653.16,336.34,438.75,89.41
